class,cap-shape,cap-surface,cap-color,bruises,gill-color,stalk-shape,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
edible,flat,fibrous,gray,no,brown,tapering,white,white,white,one,evanescent,brown,abundant,grasses
edible,bell,smooth,white,bruises,white,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,smooth,yellow,bruises,black,enlarging,white,white,white,one,pendant,black,numerous,grasses
edible,convex,scaly,brown,bruises,pink,enlarging,white,white,white,one,pendant,black,solitary,paths
edible,sunken,fibrous,gray,no,black,enlarging,white,white,white,one,pendant,brown,several,urban
edible,bell,scaly,yellow,bruises,black,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,bell,smooth,yellow,bruises,gray,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,bell,scaly,yellow,bruises,gray,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,bell,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,flat,smooth,brown,no,black,tapering,white,white,white,one,evanescent,black,abundant,grasses
edible,convex,smooth,white,bruises,brown,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,flat,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,black,numerous,grasses
edible,convex,fibrous,gray,no,pink,enlarging,white,white,white,one,pendant,brown,several,urban
edible,flat,fibrous,yellow,bruises,pink,tapering,white,white,white,one,pendant,brown,several,woods
edible,bell,scaly,white,bruises,gray,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,flat,fibrous,yellow,bruises,white,tapering,white,white,white,one,pendant,brown,several,woods
edible,convex,scaly,brown,bruises,pink,enlarging,white,white,white,one,pendant,black,scattered,paths
edible,bell,smooth,yellow,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,flat,smooth,yellow,bruises,pink,tapering,white,white,white,one,pendant,brown,several,woods
edible,convex,smooth,white,bruises,brown,tapering,white,white,white,one,pendant,purple,several,woods
edible,flat,scaly,brown,bruises,pink,enlarging,white,white,white,one,pendant,brown,solitary,paths
poisonous,convex,scaly,brown,bruises,white,enlarging,white,white,white,one,pendant,brown,several,urban
edible,flat,scaly,brown,bruises,brown,enlarging,white,white,white,one,pendant,brown,solitary,grasses
edible,convex,smooth,brown,no,black,tapering,white,white,white,one,evanescent,brown,scattered,grasses
poisonous,convex,scaly,white,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,flat,fibrous,gray,no,brown,enlarging,white,white,white,one,pendant,brown,solitary,urban
edible,convex,fibrous,gray,no,brown,tapering,white,white,white,one,evanescent,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,smooth,brown,no,black,tapering,white,white,white,one,evanescent,black,scattered,grasses
edible,bell,smooth,white,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,smooth,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,flat,scaly,brown,bruises,white,enlarging,white,white,white,one,pendant,black,solitary,grasses
edible,sunken,fibrous,brown,no,brown,enlarging,white,white,white,one,pendant,brown,several,urban
edible,convex,fibrous,brown,no,brown,enlarging,white,white,white,one,pendant,brown,solitary,urban
edible,bell,smooth,white,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,scaly,yellow,bruises,gray,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,scaly,yellow,bruises,gray,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,convex,smooth,brown,no,brown,tapering,white,white,white,one,evanescent,brown,abundant,grasses
edible,convex,smooth,white,bruises,gray,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,flat,scaly,brown,bruises,pink,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,smooth,yellow,bruises,brown,enlarging,white,white,white,one,pendant,black,numerous,grasses
edible,bell,smooth,white,bruises,gray,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,white,bruises,gray,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,fibrous,brown,no,pink,tapering,white,white,white,one,evanescent,black,scattered,grasses
edible,bell,smooth,yellow,bruises,brown,enlarging,white,white,white,one,pendant,black,numerous,grasses
edible,flat,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,black,solitary,paths
edible,bell,scaly,white,bruises,gray,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,convex,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,brown,solitary,grasses
edible,bell,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,bell,scaly,white,bruises,gray,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,convex,smooth,yellow,bruises,black,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,convex,smooth,yellow,bruises,white,enlarging,white,white,white,one,pendant,black,numerous,grasses
edible,sunken,fibrous,gray,no,gray,enlarging,white,white,white,one,pendant,black,solitary,urban
edible,convex,fibrous,white,bruises,white,tapering,white,white,white,one,pendant,purple,several,woods
edible,convex,smooth,yellow,bruises,brown,enlarging,white,white,white,one,pendant,black,numerous,meadows
poisonous,convex,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,several,urban
edible,convex,scaly,yellow,bruises,pink,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,sunken,fibrous,gray,no,pink,enlarging,white,white,white,one,pendant,brown,solitary,urban
edible,convex,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,black,solitary,grasses
edible,convex,smooth,yellow,bruises,pink,tapering,white,white,white,one,pendant,purple,several,woods
edible,sunken,fibrous,brown,no,black,enlarging,white,white,white,one,pendant,brown,solitary,urban
poisonous,convex,smooth,white,bruises,black,enlarging,white,white,white,one,pendant,black,several,grasses
edible,convex,scaly,white,bruises,gray,enlarging,white,white,white,one,pendant,brown,numerous,meadows
poisonous,flat,scaly,brown,bruises,pink,enlarging,white,white,white,one,pendant,black,several,grasses
edible,flat,smooth,gray,no,black,tapering,white,white,white,one,evanescent,brown,abundant,grasses
edible,convex,smooth,yellow,bruises,gray,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,convex,smooth,white,no,brown,tapering,white,white,white,one,evanescent,black,scattered,grasses
edible,bell,smooth,yellow,bruises,white,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,flat,fibrous,gray,no,chocolate,tapering,white,white,white,one,evanescent,brown,abundant,grasses
edible,convex,smooth,white,bruises,brown,enlarging,white,white,white,one,pendant,black,numerous,grasses
edible,bell,smooth,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,bell,smooth,white,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,bell,scaly,white,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,flat,smooth,white,bruises,white,tapering,white,white,white,one,pendant,purple,several,woods
edible,convex,scaly,yellow,bruises,gray,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,flat,smooth,white,bruises,pink,tapering,white,white,white,one,pendant,brown,several,woods
poisonous,convex,scaly,white,bruises,white,enlarging,white,white,white,one,pendant,brown,several,urban
edible,flat,fibrous,white,bruises,white,tapering,white,white,white,one,pendant,brown,several,woods
edible,convex,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,grasses
poisonous,convex,smooth,brown,bruises,pink,enlarging,white,white,white,one,pendant,brown,several,grasses
edible,bell,smooth,yellow,bruises,white,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,brown,bruises,white,enlarging,white,white,white,one,pendant,black,solitary,paths
edible,bell,scaly,yellow,bruises,gray,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,sunken,fibrous,brown,no,black,enlarging,white,white,white,one,pendant,brown,several,urban
edible,flat,scaly,brown,bruises,white,enlarging,white,white,white,one,pendant,black,solitary,paths
edible,convex,scaly,yellow,bruises,black,enlarging,white,white,white,one,pendant,black,numerous,grasses
edible,convex,fibrous,gray,no,black,tapering,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,fibrous,white,no,black,tapering,white,white,white,one,evanescent,brown,abundant,grasses
edible,convex,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,bell,smooth,yellow,bruises,black,enlarging,white,white,white,one,pendant,black,numerous,grasses
edible,bell,scaly,white,bruises,gray,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,convex,scaly,white,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,smooth,brown,no,pink,tapering,white,white,white,one,evanescent,brown,abundant,grasses
edible,convex,scaly,white,bruises,gray,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,sunken,fibrous,brown,no,black,enlarging,white,white,white,one,pendant,black,several,urban
edible,convex,smooth,white,bruises,white,tapering,white,white,white,one,pendant,purple,several,woods
edible,convex,scaly,brown,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,bell,scaly,yellow,bruises,black,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,white,bruises,black,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,bell,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,bell,smooth,yellow,bruises,gray,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,bell,smooth,yellow,bruises,gray,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,bell,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,black,numerous,grasses
edible,convex,fibrous,brown,no,black,enlarging,white,white,white,one,pendant,brown,solitary,urban
edible,flat,scaly,brown,bruises,brown,enlarging,white,white,white,one,pendant,brown,solitary,grasses
edible,convex,scaly,white,bruises,black,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,flat,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,brown,solitary,paths
edible,bell,smooth,white,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,bell,smooth,white,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,convex,scaly,brown,bruises,white,enlarging,white,white,white,one,pendant,black,solitary,grasses
edible,bell,smooth,white,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,fibrous,gray,no,gray,enlarging,white,white,white,one,pendant,brown,solitary,urban
edible,bell,smooth,yellow,bruises,black,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,fibrous,yellow,bruises,brown,tapering,white,white,white,one,pendant,purple,several,woods
edible,bell,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,flat,scaly,yellow,bruises,pink,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,bell,scaly,white,bruises,white,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,bell,scaly,white,bruises,black,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,bell,scaly,yellow,bruises,gray,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,gray,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,bell,smooth,yellow,bruises,gray,enlarging,white,white,white,one,pendant,brown,numerous,grasses
poisonous,convex,scaly,white,bruises,pink,enlarging,white,white,white,one,pendant,brown,several,urban
edible,sunken,fibrous,brown,no,gray,enlarging,white,white,white,one,pendant,brown,solitary,urban
edible,flat,fibrous,brown,no,gray,enlarging,white,white,white,one,pendant,black,several,urban
edible,convex,smooth,yellow,bruises,gray,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,flat,scaly,brown,bruises,pink,enlarging,white,white,white,one,pendant,black,scattered,paths
poisonous,convex,scaly,white,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,bell,smooth,white,bruises,gray,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,flat,fibrous,gray,no,pink,enlarging,white,white,white,one,pendant,black,several,urban
edible,bell,scaly,yellow,bruises,gray,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,brown,bruises,white,enlarging,white,white,white,one,pendant,brown,solitary,paths
edible,convex,fibrous,white,no,pink,tapering,white,white,white,one,evanescent,black,scattered,grasses
edible,convex,smooth,white,bruises,white,tapering,white,white,white,one,pendant,brown,several,woods
edible,bell,smooth,white,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,flat,smooth,yellow,bruises,white,tapering,white,white,white,one,pendant,brown,several,woods
edible,convex,smooth,yellow,bruises,black,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,flat,fibrous,gray,no,gray,enlarging,white,white,white,one,pendant,brown,solitary,urban
edible,bell,smooth,yellow,bruises,brown,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,smooth,white,bruises,gray,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,convex,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,flat,smooth,white,bruises,brown,tapering,white,white,white,one,pendant,brown,several,woods
edible,convex,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,bell,smooth,white,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,smooth,white,bruises,gray,enlarging,white,white,white,one,pendant,black,numerous,grasses
edible,convex,fibrous,white,no,chocolate,tapering,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,scaly,brown,bruises,brown,enlarging,white,white,white,one,pendant,black,solitary,paths
poisonous,convex,smooth,white,bruises,black,enlarging,white,white,white,one,pendant,brown,several,urban
edible,bell,smooth,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,bell,smooth,white,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,bell,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,bell,scaly,white,bruises,white,enlarging,white,white,white,one,pendant,black,numerous,grasses
edible,convex,smooth,yellow,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,bell,smooth,white,bruises,white,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,convex,fibrous,yellow,bruises,brown,tapering,white,white,white,one,pendant,brown,several,woods
edible,convex,fibrous,gray,no,brown,enlarging,white,white,white,one,pendant,brown,solitary,urban
edible,flat,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,bell,smooth,white,bruises,brown,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,convex,smooth,yellow,bruises,gray,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,scaly,yellow,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,scaly,white,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,sunken,fibrous,gray,no,pink,enlarging,white,white,white,one,pendant,brown,several,urban
edible,convex,smooth,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,numerous,meadows
poisonous,convex,smooth,white,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,flat,fibrous,white,bruises,pink,tapering,white,white,white,one,pendant,brown,several,woods
edible,convex,scaly,white,bruises,gray,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,bell,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,smooth,white,bruises,gray,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,smooth,yellow,bruises,gray,enlarging,white,white,white,one,pendant,brown,scattered,grasses
poisonous,convex,scaly,brown,bruises,pink,enlarging,white,white,white,one,pendant,black,several,urban
edible,bell,smooth,yellow,bruises,brown,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,fibrous,gray,no,brown,enlarging,white,white,white,one,pendant,black,solitary,urban
poisonous,convex,scaly,white,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,urban
edible,convex,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,brown,solitary,paths
edible,flat,fibrous,brown,no,black,enlarging,white,white,white,one,pendant,black,several,urban
edible,bell,smooth,white,bruises,black,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,fibrous,white,bruises,white,tapering,white,white,white,one,pendant,brown,several,woods
edible,convex,scaly,white,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,bell,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,flat,scaly,yellow,bruises,pink,enlarging,white,white,white,one,pendant,black,scattered,paths
edible,flat,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,black,solitary,paths
edible,convex,smooth,white,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,smooth,white,bruises,white,enlarging,white,white,white,one,pendant,brown,numerous,meadows
poisonous,convex,smooth,white,bruises,brown,enlarging,white,white,white,one,pendant,black,several,urban
edible,flat,fibrous,white,bruises,pink,tapering,white,white,white,one,pendant,purple,several,woods
edible,convex,smooth,white,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,smooth,white,bruises,pink,tapering,white,white,white,one,pendant,purple,several,woods
edible,convex,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,flat,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,black,solitary,paths
edible,convex,smooth,brown,no,pink,tapering,white,white,white,one,evanescent,black,scattered,grasses
edible,flat,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,brown,solitary,grasses
poisonous,convex,smooth,brown,bruises,pink,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,sunken,fibrous,brown,no,gray,enlarging,white,white,white,one,pendant,brown,several,urban
edible,bell,scaly,yellow,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,bell,smooth,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,bell,scaly,white,bruises,black,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,flat,fibrous,brown,no,black,enlarging,white,white,white,one,pendant,brown,several,urban
edible,convex,smooth,white,bruises,white,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,bell,scaly,white,bruises,gray,enlarging,white,white,white,one,pendant,black,numerous,grasses
edible,bell,scaly,white,bruises,gray,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,flat,scaly,brown,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,grasses
poisonous,convex,scaly,white,bruises,black,enlarging,white,white,white,one,pendant,black,several,grasses
edible,convex,smooth,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,flat,fibrous,white,bruises,white,tapering,white,white,white,one,pendant,purple,several,woods
edible,flat,fibrous,gray,no,gray,enlarging,white,white,white,one,pendant,black,several,urban
edible,flat,smooth,gray,no,pink,tapering,white,white,white,one,evanescent,black,abundant,grasses
edible,convex,scaly,yellow,bruises,gray,enlarging,white,white,white,one,pendant,brown,scattered,meadows
edible,bell,smooth,white,bruises,black,enlarging,white,white,white,one,pendant,brown,scattered,meadows
poisonous,flat,scaly,brown,bruises,white,enlarging,white,white,white,one,pendant,black,scattered,urban
edible,convex,smooth,white,bruises,brown,enlarging,white,white,white,one,pendant,black,numerous,meadows
poisonous,flat,smooth,brown,bruises,white,enlarging,white,white,white,one,pendant,black,several,urban
edible,convex,scaly,white,bruises,black,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,black,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,flat,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,brown,scattered,paths
edible,convex,scaly,brown,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,paths
edible,flat,scaly,brown,bruises,white,enlarging,white,white,white,one,pendant,brown,solitary,grasses
edible,convex,scaly,white,bruises,white,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,flat,fibrous,brown,no,chocolate,tapering,white,white,white,one,evanescent,black,scattered,grasses
edible,convex,smooth,yellow,bruises,black,enlarging,white,white,white,one,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,bruises,white,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,bell,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,sunken,fibrous,brown,no,pink,enlarging,white,white,white,one,pendant,brown,several,urban
edible,convex,smooth,yellow,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,bell,scaly,white,bruises,brown,enlarging,white,white,white,one,pendant,black,numerous,meadows
edible,flat,scaly,brown,bruises,brown,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,bell,scaly,yellow,bruises,gray,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,bell,scaly,white,bruises,gray,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,scaly,brown,bruises,brown,enlarging,white,white,white,one,pendant,brown,solitary,paths
edible,flat,fibrous,gray,no,pink,enlarging,white,white,white,one,pendant,brown,solitary,urban
edible,convex,fibrous,gray,no,gray,enlarging,white,white,white,one,pendant,black,solitary,urban
edible,bell,scaly,yellow,bruises,brown,enlarging,white,white,white,one,pendant,black,scattered,grasses
edible,convex,smooth,yellow,bruises,brown,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,bell,scaly,white,bruises,black,enlarging,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,smooth,white,bruises,gray,enlarging,white,white,white,one,pendant,black,scattered,meadows
edible,bell,smooth,yellow,bruises,gray,enlarging,white,white,white,one,pendant,brown,numerous,meadows
edible,convex,smooth,yellow,bruises,black,enlarging,white,white,white,one,pendant,black,scattered,meadows
