pclass,survived,sex,age,sibsp,parch,embarked
1.0,1.0,female,35.0,1.0,0.0,S
1.0,1.0,male,35.0,0.0,0.0,C
1.0,1.0,male,38.0,1.0,0.0,S
1.0,0.0,male,,0.0,0.0,C
1.0,1.0,female,35.0,1.0,0.0,S
1.0,1.0,female,38.0,0.0,0.0,
1.0,0.0,female,50.0,0.0,0.0,C
1.0,1.0,male,49.0,0.0,0.0,S
1.0,0.0,male,46.0,0.0,0.0,S
1.0,0.0,male,50.0,0.0,0.0,S
1.0,0.0,male,32.5,0.0,0.0,C
1.0,0.0,male,58.0,0.0,0.0,C
1.0,0.0,male,41.0,1.0,0.0,S
1.0,1.0,female,,1.0,0.0,S
1.0,1.0,male,42.0,1.0,0.0,S
1.0,1.0,female,45.0,1.0,0.0,S
1.0,0.0,male,,0.0,0.0,S
1.0,1.0,female,39.0,0.0,0.0,S
1.0,1.0,female,49.0,0.0,0.0,S
1.0,1.0,female,30.0,0.0,0.0,C
1.0,1.0,male,35.0,0.0,0.0,C
1.0,0.0,male,,0.0,0.0,C
1.0,0.0,male,42.0,0.0,0.0,S
1.0,1.0,female,55.0,0.0,0.0,C
1.0,1.0,female,16.0,0.0,1.0,S
1.0,1.0,female,51.0,0.0,1.0,S
1.0,0.0,male,29.0,0.0,0.0,S
1.0,1.0,female,21.0,0.0,0.0,S
1.0,0.0,male,30.0,0.0,0.0,S
1.0,1.0,female,58.0,0.0,0.0,C
1.0,1.0,female,15.0,0.0,1.0,S
1.0,0.0,male,30.0,0.0,0.0,S
1.0,1.0,female,16.0,0.0,0.0,S
1.0,1.0,male,,0.0,0.0,C
1.0,0.0,male,19.0,1.0,0.0,S
1.0,1.0,female,18.0,1.0,0.0,S
1.0,1.0,female,24.0,0.0,0.0,C
1.0,0.0,male,46.0,0.0,0.0,C
1.0,0.0,male,54.0,0.0,0.0,S
1.0,1.0,male,36.0,0.0,0.0,S
1.0,0.0,male,28.0,1.0,0.0,C
1.0,1.0,female,,1.0,0.0,C
1.0,0.0,male,65.0,0.0,0.0,S
1.0,0.0,male,44.0,2.0,0.0,Q
1.0,1.0,female,33.0,1.0,0.0,Q
1.0,1.0,female,37.0,1.0,0.0,Q
1.0,1.0,male,30.0,1.0,0.0,C
1.0,0.0,male,55.0,0.0,0.0,S
1.0,0.0,male,47.0,0.0,0.0,S
1.0,0.0,male,37.0,0.0,1.0,C
1.0,1.0,female,31.0,1.0,0.0,C
1.0,1.0,female,23.0,1.0,0.0,C
1.0,0.0,male,58.0,0.0,2.0,C
1.0,1.0,female,19.0,0.0,2.0,S
1.0,0.0,male,64.0,0.0,0.0,S
1.0,1.0,female,39.0,0.0,0.0,C
1.0,1.0,male,,0.0,0.0,C
1.0,1.0,female,22.0,0.0,1.0,C
1.0,0.0,male,65.0,0.0,1.0,C
1.0,0.0,male,28.5,0.0,0.0,C
1.0,0.0,male,,0.0,0.0,S
1.0,0.0,male,45.5,0.0,0.0,S
1.0,0.0,male,23.0,0.0,0.0,S
1.0,0.0,male,29.0,1.0,0.0,S
1.0,1.0,female,22.0,1.0,0.0,S
1.0,0.0,male,18.0,1.0,0.0,C
1.0,1.0,female,17.0,1.0,0.0,C
1.0,1.0,female,30.0,0.0,0.0,S
1.0,1.0,male,52.0,0.0,0.0,S
1.0,0.0,male,47.0,0.0,0.0,S
1.0,1.0,female,56.0,0.0,1.0,C
1.0,0.0,male,38.0,0.0,0.0,S
1.0,1.0,male,,0.0,0.0,S
1.0,0.0,male,22.0,0.0,0.0,C
1.0,0.0,male,,0.0,0.0,C
1.0,1.0,female,43.0,0.0,1.0,S
1.0,0.0,male,31.0,0.0,0.0,S
1.0,1.0,male,45.0,0.0,0.0,S
1.0,0.0,male,,0.0,0.0,S
1.0,1.0,female,33.0,0.0,0.0,C
1.0,0.0,male,46.0,0.0,0.0,C
1.0,0.0,male,36.0,0.0,0.0,C
1.0,1.0,female,33.0,0.0,0.0,S
1.0,0.0,male,55.0,1.0,0.0,C
1.0,1.0,female,54.0,1.0,0.0,C
1.0,0.0,male,33.0,0.0,0.0,S
1.0,1.0,male,13.0,2.0,2.0,C
1.0,1.0,female,18.0,2.0,2.0,C
1.0,1.0,female,21.0,2.0,2.0,C
1.0,0.0,male,61.0,1.0,3.0,C
1.0,1.0,female,48.0,1.0,3.0,C
1.0,1.0,male,,0.0,0.0,S
1.0,1.0,female,24.0,0.0,0.0,C
1.0,1.0,male,,0.0,0.0,S
1.0,1.0,female,35.0,1.0,0.0,C
1.0,1.0,female,30.0,0.0,0.0,C
1.0,1.0,male,34.0,0.0,0.0,S
1.0,1.0,female,40.0,0.0,0.0,S
1.0,1.0,male,35.0,0.0,0.0,S
1.0,0.0,male,50.0,1.0,0.0,S
1.0,1.0,female,39.0,1.0,0.0,S
1.0,1.0,male,56.0,0.0,0.0,C
1.0,1.0,male,28.0,0.0,0.0,S
1.0,0.0,male,56.0,0.0,0.0,S
1.0,0.0,male,56.0,0.0,0.0,C
1.0,0.0,male,24.0,1.0,0.0,S
1.0,0.0,male,,0.0,0.0,S
1.0,1.0,female,18.0,1.0,0.0,S
1.0,1.0,male,24.0,1.0,0.0,S
1.0,1.0,female,23.0,1.0,0.0,S
1.0,1.0,male,6.0,0.0,2.0,C
1.0,1.0,male,45.0,1.0,1.0,C
1.0,1.0,female,40.0,1.0,1.0,C
1.0,0.0,male,57.0,1.0,0.0,C
1.0,1.0,female,,1.0,0.0,C
1.0,1.0,male,32.0,0.0,0.0,C
1.0,0.0,male,62.0,0.0,0.0,S
1.0,1.0,male,54.0,1.0,0.0,C
1.0,1.0,female,43.0,1.0,0.0,C
1.0,1.0,female,52.0,1.0,0.0,C
1.0,0.0,male,,0.0,0.0,C
1.0,1.0,female,62.0,0.0,0.0,
1.0,0.0,male,67.0,1.0,0.0,S
1.0,0.0,female,63.0,1.0,0.0,S
1.0,0.0,male,61.0,0.0,0.0,S
1.0,1.0,female,48.0,0.0,0.0,S
1.0,1.0,female,18.0,0.0,2.0,S
1.0,0.0,male,52.0,1.0,1.0,S
1.0,1.0,female,39.0,1.0,1.0,S
1.0,1.0,male,48.0,1.0,0.0,S
1.0,1.0,female,,1.0,0.0,S
1.0,0.0,male,49.0,1.0,1.0,C
1.0,1.0,male,17.0,0.0,2.0,C
1.0,1.0,female,39.0,1.0,1.0,C
1.0,1.0,female,,0.0,0.0,C
1.0,1.0,male,31.0,0.0,0.0,C
1.0,0.0,male,40.0,0.0,0.0,C
1.0,0.0,male,61.0,0.0,0.0,S
1.0,0.0,male,47.0,0.0,0.0,S
1.0,1.0,female,35.0,0.0,0.0,C
1.0,0.0,male,64.0,1.0,0.0,C
1.0,1.0,female,60.0,1.0,0.0,C
1.0,0.0,male,60.0,0.0,0.0,S
1.0,0.0,male,54.0,0.0,1.0,S
1.0,0.0,male,21.0,0.0,1.0,S
1.0,1.0,female,55.0,0.0,0.0,C
1.0,1.0,female,31.0,0.0,2.0,S
1.0,0.0,male,57.0,1.0,1.0,S
1.0,1.0,female,45.0,1.0,1.0,S
1.0,0.0,male,50.0,1.0,1.0,C
1.0,0.0,male,27.0,0.0,2.0,C
1.0,1.0,female,50.0,1.0,1.0,C
1.0,1.0,female,21.0,0.0,0.0,S
1.0,0.0,male,51.0,0.0,1.0,C
1.0,1.0,male,21.0,0.0,1.0,C
1.0,0.0,male,,0.0,0.0,S
1.0,1.0,female,31.0,0.0,0.0,C
1.0,1.0,male,,0.0,0.0,S
1.0,0.0,male,62.0,0.0,0.0,S
1.0,1.0,female,36.0,0.0,0.0,C
2.0,0.0,male,30.0,1.0,0.0,C
2.0,1.0,female,28.0,1.0,0.0,C
2.0,0.0,male,30.0,0.0,0.0,S
2.0,0.0,male,18.0,0.0,0.0,S
2.0,0.0,male,25.0,0.0,0.0,S
2.0,0.0,male,34.0,1.0,0.0,S
2.0,1.0,female,36.0,1.0,0.0,S
2.0,0.0,male,57.0,0.0,0.0,S
2.0,0.0,male,18.0,0.0,0.0,S
2.0,0.0,male,23.0,0.0,0.0,S
2.0,1.0,female,36.0,0.0,0.0,S
2.0,0.0,male,28.0,0.0,0.0,S
2.0,0.0,male,51.0,0.0,0.0,S
2.0,1.0,male,32.0,1.0,0.0,S
2.0,1.0,female,19.0,1.0,0.0,S
2.0,0.0,male,28.0,0.0,0.0,S
2.0,1.0,male,1.0,2.0,1.0,S
2.0,1.0,female,4.0,2.0,1.0,S
2.0,1.0,female,12.0,2.0,1.0,S
2.0,1.0,female,36.0,0.0,3.0,S
2.0,1.0,male,34.0,0.0,0.0,S
2.0,1.0,female,19.0,0.0,0.0,S
2.0,0.0,male,23.0,0.0,0.0,S
2.0,0.0,male,26.0,0.0,0.0,S
2.0,0.0,male,42.0,0.0,0.0,S
2.0,0.0,male,27.0,0.0,0.0,S
2.0,1.0,female,24.0,0.0,0.0,S
2.0,1.0,female,15.0,0.0,2.0,S
2.0,0.0,male,60.0,1.0,1.0,S
2.0,1.0,female,40.0,1.0,1.0,S
2.0,1.0,female,20.0,1.0,0.0,S
2.0,0.0,male,25.0,1.0,0.0,S
2.0,1.0,female,36.0,0.0,0.0,S
2.0,0.0,male,25.0,0.0,0.0,S
2.0,0.0,male,42.0,0.0,0.0,S
2.0,1.0,female,42.0,0.0,0.0,S
2.0,1.0,male,0.8333,0.0,2.0,S
2.0,1.0,male,26.0,1.0,1.0,S
2.0,1.0,female,22.0,1.0,1.0,S
2.0,1.0,female,35.0,0.0,0.0,S
2.0,0.0,male,,0.0,0.0,S
2.0,0.0,male,19.0,0.0,0.0,S
2.0,0.0,female,44.0,1.0,0.0,S
2.0,0.0,male,54.0,1.0,0.0,S
2.0,0.0,male,52.0,0.0,0.0,S
2.0,0.0,male,37.0,1.0,0.0,S
2.0,0.0,female,29.0,1.0,0.0,S
2.0,1.0,female,25.0,1.0,1.0,S
2.0,1.0,female,45.0,0.0,2.0,S
2.0,0.0,male,29.0,1.0,0.0,S
2.0,1.0,female,28.0,1.0,0.0,S
2.0,0.0,male,29.0,0.0,0.0,S
2.0,0.0,male,28.0,0.0,0.0,S
2.0,1.0,male,24.0,0.0,0.0,S
2.0,1.0,female,8.0,0.0,2.0,S
2.0,0.0,male,31.0,1.0,1.0,S
2.0,1.0,female,31.0,1.0,1.0,S
2.0,1.0,female,22.0,0.0,0.0,S
2.0,0.0,female,30.0,0.0,0.0,S
2.0,0.0,female,,0.0,0.0,S
2.0,0.0,male,21.0,0.0,0.0,S
2.0,0.0,male,,0.0,0.0,S
2.0,1.0,male,8.0,1.0,1.0,S
2.0,0.0,male,18.0,0.0,0.0,S
2.0,1.0,female,48.0,0.0,2.0,S
2.0,1.0,female,28.0,0.0,0.0,S
2.0,0.0,male,32.0,0.0,0.0,S
2.0,0.0,male,17.0,0.0,0.0,S
2.0,0.0,male,29.0,1.0,0.0,C
2.0,1.0,female,24.0,1.0,0.0,C
2.0,0.0,male,25.0,0.0,0.0,S
2.0,0.0,male,18.0,0.0,0.0,S
2.0,1.0,female,18.0,0.0,1.0,S
2.0,1.0,female,34.0,0.0,1.0,S
2.0,0.0,male,54.0,0.0,0.0,S
2.0,1.0,male,8.0,0.0,2.0,S
2.0,0.0,male,42.0,1.0,1.0,S
2.0,1.0,female,34.0,1.0,1.0,S
2.0,1.0,female,27.0,1.0,0.0,C
2.0,1.0,female,30.0,1.0,0.0,C
2.0,0.0,male,23.0,0.0,0.0,S
2.0,0.0,male,21.0,0.0,0.0,S
2.0,0.0,male,18.0,0.0,0.0,S
2.0,0.0,male,40.0,1.0,0.0,S
2.0,1.0,female,29.0,1.0,0.0,S
2.0,0.0,male,18.0,0.0,0.0,S
2.0,0.0,male,36.0,0.0,0.0,S
2.0,0.0,male,,0.0,0.0,S
2.0,0.0,female,38.0,0.0,0.0,S
2.0,0.0,male,35.0,0.0,0.0,S
2.0,0.0,male,38.0,1.0,0.0,S
2.0,0.0,male,34.0,1.0,0.0,S
2.0,1.0,female,34.0,0.0,0.0,S
2.0,0.0,male,16.0,0.0,0.0,S
2.0,0.0,male,26.0,0.0,0.0,S
2.0,0.0,male,47.0,0.0,0.0,S
2.0,0.0,male,21.0,1.0,0.0,S
2.0,0.0,male,21.0,1.0,0.0,S
2.0,0.0,male,24.0,0.0,0.0,S
2.0,0.0,male,24.0,0.0,0.0,S
2.0,0.0,male,34.0,0.0,0.0,S
2.0,0.0,male,30.0,0.0,0.0,S
2.0,0.0,male,52.0,0.0,0.0,S
2.0,0.0,male,30.0,0.0,0.0,S
2.0,1.0,male,0.6667,1.0,1.0,S
2.0,1.0,female,24.0,0.0,2.0,S
2.0,0.0,male,44.0,0.0,0.0,S
2.0,1.0,female,6.0,0.0,1.0,S
2.0,0.0,male,28.0,0.0,1.0,S
2.0,1.0,male,62.0,0.0,0.0,S
2.0,0.0,male,30.0,0.0,0.0,S
2.0,1.0,female,7.0,0.0,2.0,S
2.0,0.0,male,43.0,1.0,1.0,S
2.0,1.0,female,45.0,1.0,1.0,S
2.0,1.0,female,24.0,1.0,2.0,S
2.0,1.0,female,24.0,1.0,2.0,S
2.0,0.0,male,49.0,1.0,2.0,S
2.0,1.0,female,48.0,1.0,2.0,S
2.0,1.0,female,55.0,0.0,0.0,S
2.0,0.0,male,24.0,2.0,0.0,S
2.0,0.0,male,32.0,2.0,0.0,S
2.0,0.0,male,21.0,2.0,0.0,S
2.0,0.0,female,18.0,1.0,1.0,S
2.0,1.0,female,20.0,2.0,1.0,S
2.0,0.0,male,23.0,2.0,1.0,S
2.0,0.0,male,36.0,0.0,0.0,S
2.0,1.0,female,54.0,1.0,3.0,S
2.0,0.0,male,50.0,0.0,0.0,S
2.0,0.0,male,44.0,1.0,0.0,S
2.0,1.0,female,29.0,1.0,0.0,S
2.0,0.0,male,21.0,0.0,0.0,S
2.0,1.0,male,42.0,0.0,0.0,S
2.0,0.0,male,63.0,1.0,0.0,S
2.0,0.0,female,60.0,1.0,0.0,S
2.0,0.0,male,33.0,0.0,0.0,S
2.0,1.0,female,17.0,0.0,0.0,S
2.0,0.0,male,42.0,1.0,0.0,S
2.0,1.0,female,24.0,2.0,1.0,S
2.0,0.0,male,47.0,0.0,0.0,S
2.0,0.0,male,24.0,2.0,0.0,S
2.0,0.0,male,22.0,2.0,0.0,S
2.0,0.0,male,32.0,0.0,0.0,S
2.0,1.0,female,23.0,0.0,0.0,C
2.0,0.0,male,34.0,1.0,0.0,S
2.0,1.0,female,24.0,1.0,0.0,S
2.0,0.0,female,22.0,0.0,0.0,S
2.0,1.0,female,,0.0,0.0,Q
2.0,0.0,male,35.0,0.0,0.0,Q
2.0,1.0,female,45.0,0.0,0.0,S
2.0,0.0,male,57.0,0.0,0.0,Q
2.0,0.0,male,,0.0,0.0,S
2.0,0.0,male,31.0,0.0,0.0,S
2.0,0.0,female,26.0,1.0,1.0,S
2.0,0.0,male,30.0,1.0,1.0,S
2.0,0.0,male,,0.0,0.0,Q
2.0,1.0,female,1.0,1.0,2.0,C
2.0,1.0,female,3.0,1.0,2.0,C
2.0,0.0,male,25.0,1.0,2.0,C
2.0,1.0,female,22.0,1.0,2.0,C
2.0,1.0,female,17.0,0.0,0.0,C
2.0,1.0,female,,0.0,0.0,S
2.0,1.0,female,34.0,0.0,0.0,S
2.0,0.0,male,36.0,0.0,0.0,C
2.0,0.0,male,24.0,0.0,0.0,S
2.0,0.0,male,61.0,0.0,0.0,Q
2.0,0.0,male,50.0,1.0,0.0,S
2.0,1.0,female,42.0,1.0,0.0,S
2.0,0.0,female,57.0,0.0,0.0,S
2.0,0.0,male,,0.0,0.0,C
2.0,1.0,male,1.0,0.0,2.0,C
2.0,0.0,male,31.0,1.0,1.0,C
2.0,1.0,female,24.0,1.0,1.0,C
2.0,0.0,male,,0.0,0.0,C
2.0,0.0,male,30.0,0.0,0.0,S
2.0,0.0,male,40.0,0.0,0.0,S
2.0,0.0,male,32.0,0.0,0.0,S
2.0,0.0,male,30.0,0.0,0.0,S
2.0,0.0,male,46.0,0.0,0.0,S
2.0,1.0,female,13.0,0.0,1.0,S
2.0,1.0,female,41.0,0.0,1.0,S
2.0,1.0,male,19.0,0.0,0.0,S
2.0,0.0,male,39.0,0.0,0.0,S
2.0,0.0,male,48.0,0.0,0.0,S
2.0,0.0,male,70.0,0.0,0.0,S
2.0,0.0,male,27.0,0.0,0.0,S
2.0,0.0,male,54.0,0.0,0.0,S
2.0,0.0,male,39.0,0.0,0.0,S
2.0,0.0,male,16.0,0.0,0.0,S
2.0,0.0,male,62.0,0.0,0.0,Q
2.0,0.0,male,32.5,1.0,0.0,C
2.0,1.0,female,14.0,1.0,0.0,C
2.0,1.0,male,2.0,1.0,1.0,S
2.0,1.0,male,3.0,1.0,1.0,S
2.0,0.0,male,36.5,0.0,2.0,S
2.0,0.0,male,26.0,0.0,0.0,S
2.0,0.0,male,19.0,1.0,1.0,S
2.0,0.0,male,28.0,0.0,0.0,S
2.0,1.0,male,20.0,0.0,0.0,C
2.0,1.0,female,29.0,0.0,0.0,S
2.0,0.0,male,39.0,0.0,0.0,S
2.0,1.0,male,22.0,0.0,0.0,S
2.0,1.0,male,,0.0,0.0,C
2.0,0.0,male,23.0,0.0,0.0,S
2.0,1.0,male,29.0,0.0,0.0,C
2.0,0.0,male,28.0,0.0,0.0,S
2.0,0.0,male,,0.0,0.0,S
2.0,1.0,female,50.0,0.0,1.0,S
2.0,0.0,male,19.0,0.0,0.0,S
2.0,0.0,male,,0.0,0.0,C
2.0,0.0,male,41.0,0.0,0.0,S
2.0,1.0,female,21.0,0.0,1.0,S
2.0,1.0,female,19.0,0.0,0.0,S
2.0,0.0,male,43.0,0.0,1.0,S
2.0,1.0,female,32.0,0.0,0.0,S
2.0,0.0,male,34.0,0.0,0.0,S
2.0,1.0,male,30.0,0.0,0.0,C
2.0,0.0,male,27.0,0.0,0.0,C
2.0,1.0,female,2.0,1.0,1.0,S
2.0,1.0,female,8.0,1.0,1.0,S
2.0,1.0,female,33.0,0.0,2.0,S
2.0,0.0,male,36.0,0.0,0.0,S
2.0,0.0,male,34.0,1.0,0.0,S
2.0,1.0,female,30.0,3.0,0.0,S
2.0,1.0,female,28.0,0.0,0.0,S
2.0,0.0,male,23.0,0.0,0.0,C
2.0,1.0,male,0.8333,1.0,1.0,S
2.0,1.0,male,3.0,1.0,1.0,S
2.0,1.0,female,24.0,2.0,3.0,S
2.0,1.0,female,50.0,0.0,0.0,S
2.0,0.0,male,19.0,0.0,0.0,S
2.0,1.0,female,21.0,0.0,0.0,S
2.0,0.0,male,26.0,0.0,0.0,S
2.0,0.0,male,25.0,0.0,0.0,S
2.0,0.0,male,27.0,0.0,0.0,S
2.0,1.0,female,25.0,0.0,1.0,S
2.0,1.0,female,18.0,0.0,2.0,S
2.0,1.0,female,20.0,0.0,0.0,S
2.0,1.0,female,30.0,0.0,0.0,S
2.0,0.0,male,59.0,0.0,0.0,S
2.0,1.0,female,30.0,0.0,0.0,Q
2.0,0.0,male,35.0,0.0,0.0,S
2.0,1.0,female,40.0,0.0,0.0,S
2.0,0.0,male,25.0,0.0,0.0,S
2.0,0.0,male,41.0,0.0,0.0,C
2.0,0.0,male,25.0,0.0,0.0,S
2.0,0.0,male,18.5,0.0,0.0,S
2.0,0.0,male,14.0,0.0,0.0,S
2.0,1.0,female,50.0,0.0,0.0,S
2.0,0.0,male,23.0,0.0,0.0,S
2.0,1.0,female,28.0,0.0,0.0,S
2.0,1.0,female,27.0,0.0,0.0,S
2.0,0.0,male,29.0,1.0,0.0,S
2.0,0.0,female,27.0,1.0,0.0,S
2.0,0.0,male,40.0,0.0,0.0,S
2.0,1.0,female,31.0,0.0,0.0,S
2.0,0.0,male,30.0,1.0,0.0,S
2.0,0.0,male,23.0,1.0,0.0,S
2.0,1.0,female,31.0,0.0,0.0,S
2.0,0.0,male,,0.0,0.0,S
2.0,1.0,female,12.0,0.0,0.0,S
2.0,1.0,female,40.0,0.0,0.0,S
2.0,1.0,female,32.5,0.0,0.0,S
2.0,0.0,male,27.0,1.0,0.0,S
2.0,1.0,female,29.0,1.0,0.0,S
